Season,Birth_place,,,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1999,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,District of Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Foreign Country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Massachusetts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Mississippi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Missouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New Jersey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,North Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Oklahoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Pennsylvania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,Wisconsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Arkansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
